LATITUDE,LONGITUDE,geometry
-23.551848626652,-46.6347518028256,POINT (333141.404066524 7394437.284546668)
-23.5456300250993,-46.631212481259695,POINT (333494.8933512338 7395130.03736477)
-23.54502538,-46.6310911269999,POINT (333506.5211536227 7395197.135591119)
-23.5360918,-46.6329649,POINT (333303.9562040956 7396184.246539732)
-23.5520773140322,-46.6276069987112,POINT (333871.0942395172 7394420.259942173)
-23.5564207,-46.6293912,POINT (333694.4157473454 7393937.211912604)
-23.5513286,-46.6279579,POINT (333834.3297728873 7394502.764350137)
-23.5569452185714,-46.627312694,POINT (333907.2593365726 7393881.53836518)
-23.550042542709505,-46.6343365644664,POINT (333181.5150563358 7394637.770672123)
-23.5447106,-46.6308658,POINT (333529.1291853537 7395232.255406525)
-23.5519317,-46.6256609,POINT (334069.5851041995 7394438.639362465)
-23.5445182952989,-46.6330160943403,POINT (333309.3543228186 7395251.05239664)
-23.5554688029999,-46.635279699,POINT (333092.0853695393 7394035.777237188)
-23.5554688029999,-46.635279699,POINT (333092.0853695393 7394035.777237188)
-23.5453438053333,-46.62657572833329,POINT (333967.9150784705 7395167.110438127)
-23.5409737,-46.6337398,POINT (333230.9962516761 7395642.732959061)
-23.539107599,-46.62704694199991,POINT (333911.9721019974 7395857.149439483)
-23.5439553,-46.6340382,POINT (333204.2927221167 7395312.2087513)
-23.558050384,-46.63022391,POINT (333611.4613537075 7393755.77685415)
-23.551201401,-46.634046855,POINT (333212.5542607092 7394509.777773847)
-23.5478512081428,-46.6309080755714,POINT (333528.7689755007 7394884.421134949)
-23.555742918588095,-46.6316029017313,POINT (333467.7797882318 7394009.699745037)
-23.5573445,-46.6364267,POINT (332977.3643083249 7393826.728954682)
-23.5569743552857,-46.627571459,POINT (333880.8800892739 7393878.011862435)
-23.551358637758096,-46.6249632274258,POINT (334140.0899499006 7394502.906674761)
-23.5434629,-46.6326939,POINT (333340.917819637 7395368.299549423)
-23.5554712926249,-46.63552596075,POINT (333066.9486656519 7394035.214693282)
-23.5449102,-46.6263324,POINT (333992.212692215 7395215.408800272)
-23.5522073,-46.6256242,POINT (334073.6778414805 7394408.162446223)
-23.559885,-46.631205,POINT (333513.620487964 7393551.474926945)
-23.551438936,-46.627758081,POINT (333854.8677983619 7394490.777593587)
-23.5558875,-46.6349683,POINT (333124.4037104551 7393989.774041044)
-23.5364198,-46.6333092,POINT (333269.2164886852 7396147.524201127)
-23.5505552943048,-46.625133336922495,POINT (334121.7152061415 7394591.670466962)
-23.5568951376104,-46.629654444935,POINT (333668.1397869134 7393884.367985833)
-23.5614933,-46.6362234,POINT (333003.3636799343 7393367.533863746)
-23.5589879978842,-46.6349505460631,POINT (333130.1329282415 7393646.450344376)
-23.5576017401333,-46.6351004444666,POINT (333113.0793735046 7393799.787838986)
-23.5574703905,-46.635113604,POINT (333111.5700440727 7393814.31796995)
-23.555475441999896,-46.635936397,POINT (333025.0541565839 7394034.277023911)
-23.5582559628,-46.6337503022399,POINT (333251.7334458046 7393728.912070539)
-23.5577476057682,-46.6354260560987,POINT (333080.0238837053 7393783.255632079)
-23.5502032698022,-46.6314220342545,POINT (333479.2619860341 7394623.361052753)
-23.557320276633295,-46.6351286434666,POINT (333109.8450939544 7393830.92383365)
-23.5582474512,-46.6336288143599,POINT (333264.1246307698 7393729.996005652)
-23.555197826232096,-46.62876853530351,POINT (333756.4415476441 7394073.353260651)
-23.5561097,-46.6304489,POINT (333586.0487036312 7393970.423600923)
-23.5412725,-46.6311152,POINT (333499.3363577403 7395612.69455363)
-23.5499623,-46.6304482,POINT (333578.3770530721 7394651.176644641)
-23.5494499734693,-46.6331465928473,POINT (333302.2517695326 7394704.775209455)
-23.555475441999896,-46.635936397,POINT (333025.0541565839 7394034.277023911)
-23.5447240503922,-46.6267699205103,POINT (333947.3107213818 7395235.515943141)
-23.557083932,-46.634114702,POINT (333213.0543171307 7393858.276816206)
-23.550487052923,-46.63430931146151,POINT (333184.858475715 7394588.578064451)
-23.555375057479296,-46.62941005830941,POINT (333691.1742211543 7394052.982632674)
-23.551201401,-46.634046855,POINT (333212.5542607092 7394509.777773847)
-23.5509687405257,-46.634556039505696,POINT (333160.2782770514 7394534.94959628)
-23.5502594179999,-46.6390354,POINT (332702.0849002259 7394608.277666172)
-23.5413925,-46.6309565,POINT (333515.6902314755 7395599.590256665)
-23.5598266609481,-46.6301526217612,POINT (333620.9761995596 7393559.157739944)
-23.5504206,-46.6342465,POINT (333191.1869902462 7394596.010052027)
-23.5564207,-46.6293912,POINT (333694.4157473454 7393937.211912604)
-23.556523,-46.6339798,POINT (333226.1175579049 7393920.550550908)
-23.5564207,-46.6293912,POINT (333694.4157473454 7393937.211912604)
-23.5436238,-46.6325199,POINT (333358.8852089272 7395350.684024829)
-23.55632,-46.63609,POINT (333010.4410469143 7393940.572965149)
-23.5552093,-46.6352112,POINT (333098.7503008416 7394064.593976278)
-23.5510565,-46.628234,POINT (333805.8008058112 7394532.576073971)
-23.5474779,-46.6360676,POINT (333001.552552826 7394919.759367893)
-23.5568828,-46.6294714,POINT (333686.8103195949 7393885.946690314)
-23.544409173,-46.634183578,POINT (333190.0231863193 7395261.778504843)
-23.5529130089655,-46.6251645611266,POINT (334121.4874769731 7394330.545677859)
-23.54218063675,-46.63227744075,POINT (333381.8199994494 7395510.779075201)
-23.5554712926249,-46.63552596075,POINT (333066.9486656519 7394035.214693282)
-23.5542423,-46.62633,POINT (334004.1808441712 7394181.993158243)
-23.5519703901874,-46.6338049345625,POINT (333238.2222490241 7394424.902681184)
-23.552565184048895,-46.626854138061695,POINT (333948.5655846823 7394367.106599888)
-23.5519089,-46.6257334,POINT (334062.155069433 7394441.08025294)
-23.551131598983496,-46.6284447261967,POINT (333784.3824362793 7394524.015394203)
-23.555822290428505,-46.6290816947142,POINT (333725.2583730174 7394003.837889438)
-23.55003353832,-46.63654326432,POINT (332956.2214923076 7394636.197825657)
-23.5388941327923,-46.6274097170127,POINT (333874.6651821056 7395880.368023154)
-23.5534921,-46.6261734,POINT (334019.2251089588 7394265.250249448)
-23.5591216,-46.6309471,POINT (333538.9854153123 7393636.312225337)
-23.5402519,-46.6325433,POINT (333352.2454585421 7395724.054861291)
-23.5520287275902,-46.638951695261696,POINT (332712.8703641524 7394412.444616074)
-23.550243818,-46.6327285949999,POINT (333345.926539861 7394617.352287264)
-23.5465362649091,-46.626426018454495,POINT (333984.6973262344 7395035.233235117)
-23.5596195,-46.6378017,POINT (332839.8772232948 7393573.195293291)
-23.551555,-46.6330837,POINT (333311.3279883537 7394471.741286514)
-23.5582616372,-46.6338312941599,POINT (333243.472656434 7393728.189441239)
-23.547997731340896,-46.6361610732954,POINT (332992.6665917728 7394862.085188909)
-23.546389239,-46.6335227129999,POINT (333259.9917772192 7395043.278229058)
-23.5598979,-46.6316268,POINT (333470.5784238844 7393549.556216498)
-23.5606388054676,-46.6383459814712,POINT (332785.6059468496 7393459.683702002)
-23.5528138,-46.6329754,POINT (333323.9721678721 7394332.46983829)
-23.5564121958527,-46.6330850169298,POINT (333317.3216844489 7393933.861911859)
-23.558050384,-46.63022391,POINT (333611.4613537075 7393755.77685415)
-23.5486657471515,-46.62964462296969,POINT (333658.7821458945 7394795.687291216)
-23.551780714731695,-46.6379462885609,POINT (332815.1971688222 7394441.082343564)
-23.5468221,-46.6376037,POINT (332843.8993860099 7394990.59126954)
-23.5481697408688,-46.6363269699836,POINT (332975.9473150664 7394842.843840456)
